id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Wind,Sand Theory,country,relaxed,0.55,95,0.72,0.63,0.76
12,Bass Drop Arena,Voltline,edm,intense,0.95,140,0.52,0.91,0.03
13,Rainy Window,Paper Lanterns,ambient,moody,0.22,58,0.38,0.35,0.94
14,City Pulse,Indigo Parade,hip hop,focused,0.68,102,0.66,0.85,0.12
15,Velvet Underground,Slow Stereo,jazz,moody,0.44,88,0.43,0.51,0.83
16,Pixel Dreams,Orbit Bloom,synthwave,happy,0.71,116,0.78,0.76,0.19
17,Mountain Echo,Sand Theory,folk,relaxed,0.31,82,0.74,0.48,0.95
18,Electric Youth,Max Pulse,pop,happy,0.80,126,0.86,0.84,0.08

